Circuit: * C:\Users\Sameer\Desktop\DFTBA\Projects\Inductive PnD\Simulations\Draft3.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 7.22786e-007 to 7.23161e-007
Heightened Def Con from 7.23233e-007 to 7.29233e-007
Heightened Def Con from 7.34491e-007 to 7.40491e-007
Heightened Def Con from 7.44081e-007 to 7.53081e-007
Heightened Def Con from 7.54053e-007 to 7.60053e-007
Heightened Def Con from 7.63267e-007 to 7.73267e-007
Heightened Def Con from 7.74805e-007 to 7.7618e-007
Heightened Def Con from 7.76439e-007 to 7.83439e-007
Heightened Def Con from 7.88366e-007 to 7.89491e-007
Heightened Def Con from 7.89568e-007 to 7.93068e-007
Heightened Def Con from 7.99756e-007 to 8.03256e-007
Heightened Def Con from 8.08471e-007 to 8.11971e-007
Heightened Def Con from 8.15523e-007 to 8.21648e-007
Heightened Def Con from 8.23139e-007 to 8.30264e-007
Heightened Def Con from 8.30785e-007 to 8.36785e-007
Heightened Def Con from 8.39239e-007 to 8.50364e-007
Heightened Def Con from 8.50546e-007 to 8.56546e-007
Heightened Def Con from 8.89179e-007 to 8.89679e-007
Heightened Def Con from 8.8968e-007 to 8.9368e-007
Heightened Def Con from 8.98038e-007 to 8.98289e-007
Heightened Def Con from 8.98292e-007 to 9.05417e-007
Heightened Def Con from 9.06034e-007 to 9.11034e-007
Heightened Def Con from 9.11106e-007 to 9.17106e-007
Heightened Def Con from 9.46351e-007 to 9.55351e-007
Heightened Def Con from 9.55976e-007 to 9.61976e-007
Heightened Def Con from 9.64333e-007 to 9.70333e-007
Heightened Def Con from 9.73359e-007 to 9.79359e-007
Heightened Def Con from 9.86519e-007 to 9.92519e-007
Heightened Def Con from 9.98667e-007 to 1.00467e-006
Heightened Def Con from 1.00816e-006 to 1.00954e-006
Heightened Def Con from 1.00987e-006 to 1.01587e-006
Heightened Def Con from 1.02013e-006 to 1.02613e-006
Heightened Def Con from 1.02969e-006 to 1.03882e-006
Heightened Def Con from 1.03979e-006 to 1.04091e-006
Heightened Def Con from 1.04109e-006 to 1.05121e-006
Heightened Def Con from 1.05172e-006 to 1.05284e-006
Heightened Def Con from 1.0529e-006 to 1.0539e-006
Heightened Def Con from 1.05392e-006 to 1.05992e-006
Heightened Def Con from 1.06515e-006 to 1.07115e-006
Heightened Def Con from 1.07571e-006 to 1.07921e-006
Heightened Def Con from 1.08371e-006 to 1.09071e-006
Heightened Def Con from 1.09208e-006 to 1.09921e-006
Heightened Def Con from 1.10063e-006 to 1.10113e-006
Heightened Def Con from 1.10141e-006 to 1.10753e-006
Heightened Def Con from 1.10863e-006 to 1.10975e-006
Heightened Def Con from 1.10984e-006 to 1.11584e-006
Heightened Def Con from 1.11966e-006 to 1.12566e-006
Heightened Def Con from 1.12863e-006 to 1.13463e-006
Heightened Def Con from 1.13806e-006 to 1.13906e-006
Heightened Def Con from 1.13906e-006 to 1.13931e-006
Heightened Def Con from 1.13932e-006 to 1.14532e-006
Heightened Def Con from 1.15213e-006 to 1.16013e-006
Heightened Def Con from 1.16368e-006 to 1.16506e-006
Heightened Def Con from 1.16519e-006 to 1.17219e-006
Heightened Def Con from 1.17557e-006 to 1.17907e-006
Heightened Def Con from 1.18373e-006 to 1.18473e-006
Heightened Def Con from 1.18473e-006 to 1.18823e-006
Heightened Def Con from 1.18834e-006 to 1.19184e-006
Heightened Def Con from 1.19857e-006 to 1.20557e-006
Heightened Def Con from 1.20643e-006 to 1.20693e-006
Heightened Def Con from 1.2073e-006 to 1.21342e-006
Heightened Def Con from 1.21417e-006 to 1.22129e-006
Heightened Def Con from 1.2219e-006 to 1.2224e-006
Heightened Def Con from 1.22259e-006 to 1.22309e-006
Heightened Def Con from 1.22319e-006 to 1.22919e-006
Heightened Def Con from 1.23188e-006 to 1.23888e-006
Heightened Def Con from 1.24154e-006 to 1.24854e-006
Heightened Def Con from 1.25103e-006 to 1.25703e-006
Heightened Def Con from 1.26064e-006 to 1.26164e-006
Heightened Def Con from 1.26164e-006 to 1.26864e-006
Heightened Def Con from 1.30186e-006 to 1.30386e-006
Heightened Def Con from 1.30386e-006 to 1.31199e-006
Heightened Def Con from 1.31243e-006 to 1.31856e-006
Heightened Def Con from 1.31859e-006 to 1.32859e-006
Heightened Def Con from 1.35616e-006 to 1.36216e-006
Heightened Def Con from 1.36666e-006 to 1.37266e-006
Heightened Def Con from 1.37869e-006 to 1.37969e-006
Heightened Def Con from 1.37969e-006 to 1.38169e-006
Heightened Def Con from 1.38169e-006 to 1.38869e-006
Heightened Def Con from 1.39625e-006 to 1.40225e-006
Heightened Def Con from 1.40609e-006 to 1.41209e-006
Heightened Def Con from 1.41626e-006 to 1.41664e-006
Heightened Def Con from 1.41671e-006 to 1.42271e-006
Heightened Def Con from 1.42811e-006 to 1.43511e-006
Heightened Def Con from 1.43874e-006 to 1.44474e-006
Heightened Def Con from 1.45071e-006 to 1.45971e-006
Heightened Def Con from 1.46194e-006 to 1.46994e-006
Heightened Def Con from 1.47205e-006 to 1.47905e-006
Heightened Def Con from 1.48086e-006 to 1.48186e-006
Heightened Def Con from 1.48186e-006 to 1.48211e-006
Heightened Def Con from 1.48212e-006 to 1.49224e-006
Heightened Def Con from 1.49299e-006 to 1.50099e-006
Heightened Def Con from 1.50193e-006 to 1.50231e-006
Heightened Def Con from 1.50249e-006 to 1.50849e-006
Heightened Def Con from 1.5103e-006 to 1.51943e-006
Heightened Def Con from 1.52006e-006 to 1.52718e-006
Heightened Def Con from 1.52829e-006 to 1.52929e-006
Heightened Def Con from 1.52929e-006 to 1.53279e-006
Heightened Def Con from 1.56008e-006 to 1.56058e-006
Heightened Def Con from 1.56058e-006 to 1.56458e-006
Heightened Def Con from 1.56942e-006 to 1.57292e-006
Heightened Def Con from 1.57564e-006 to 1.57976e-006
Heightened Def Con from 1.58048e-006 to 1.58648e-006
Heightened Def Con from 1.58854e-006 to 1.59554e-006
Heightened Def Con from 1.61621e-006 to 1.62321e-006
Heightened Def Con from 1.62751e-006 to 1.63351e-006
Heightened Def Con from 1.66628e-006 to 1.67528e-006
Heightened Def Con from 1.67614e-006 to 1.68214e-006
Heightened Def Con from 1.68371e-006 to 1.68971e-006
Heightened Def Con from 1.694e-006 to 1.69413e-006
Heightened Def Con from 1.69414e-006 to 1.70014e-006
Heightened Def Con from 1.71167e-006 to 1.71767e-006
Heightened Def Con from 1.72389e-006 to 1.73089e-006
Heightened Def Con from 1.73407e-006 to 1.73507e-006
Heightened Def Con from 1.73507e-006 to 1.74307e-006
Heightened Def Con from 1.77857e-006 to 1.7797e-006
Heightened Def Con from 1.77975e-006 to 1.78e-006
Heightened Def Con from 1.78001e-006 to 1.78813e-006
Heightened Def Con from 1.7891e-006 to 1.7926e-006
Heightened Def Con from 1.7928e-006 to 1.79308e-006
Heightened Def Con from 1.79336e-006 to 1.80036e-006
Heightened Def Con from 1.81388e-006 to 1.81988e-006
Heightened Def Con from 1.82895e-006 to 1.83495e-006
Heightened Def Con from 1.83992e-006 to 1.84029e-006
Heightened Def Con from 1.84036e-006 to 1.84636e-006
Heightened Def Con from 1.85318e-006 to 1.85918e-006
Heightened Def Con from 1.86786e-006 to 1.87486e-006
Heightened Def Con from 1.8808e-006 to 1.8868e-006
Heightened Def Con from 1.89143e-006 to 1.89243e-006
Heightened Def Con from 1.89246e-006 to 1.89946e-006
Heightened Def Con from 1.90238e-006 to 1.90838e-006
Heightened Def Con from 1.91352e-006 to 1.92365e-006
Heightened Def Con from 1.92521e-006 to 1.93321e-006
Heightened Def Con from 1.93648e-006 to 1.93748e-006
Heightened Def Con from 1.93748e-006 to 1.94098e-006
Heightened Def Con from 1.96116e-006 to 1.96466e-006
Heightened Def Con from 1.97012e-006 to 1.97037e-006
Heightened Def Con from 1.97038e-006 to 1.97138e-006
Heightened Def Con from 1.97733e-006 to 1.98071e-006
Heightened Def Con from 1.98084e-006 to 1.98684e-006
Heightened Def Con from 2.01636e-006 to 2.02236e-006
Heightened Def Con from 2.0258e-006 to 2.0318e-006
Heightened Def Con from 2.03487e-006 to 2.04187e-006
Heightened Def Con from 2.0469e-006 to 2.0529e-006
Heightened Def Con from 2.06101e-006 to 2.06701e-006
Heightened Def Con from 2.07319e-006 to 2.07919e-006
Heightened Def Con from 2.08338e-006 to 2.08938e-006
Heightened Def Con from 2.09194e-006 to 2.09294e-006
Heightened Def Con from 2.09295e-006 to 2.09645e-006
Heightened Def Con from 2.13129e-006 to 2.13479e-006
Heightened Def Con from 2.14035e-006 to 2.1406e-006
Heightened Def Con from 2.1406e-006 to 2.14673e-006
Heightened Def Con from 2.1478e-006 to 2.1538e-006
Heightened Def Con from 2.15436e-006 to 2.16136e-006
Heightened Def Con from 2.1731e-006 to 2.1741e-006
Heightened Def Con from 2.1741e-006 to 2.1811e-006
Heightened Def Con from 2.19114e-006 to 2.19251e-006
Heightened Def Con from 2.19264e-006 to 2.19864e-006
Heightened Def Con from 2.20377e-006 to 2.20977e-006
Heightened Def Con from 2.21365e-006 to 2.21965e-006
Heightened Def Con from 2.22556e-006 to 2.23156e-006
Heightened Def Con from 2.23646e-006 to 2.24246e-006
Heightened Def Con from 2.247e-006 to 2.253e-006
Heightened Def Con from 2.25558e-006 to 2.25658e-006
Heightened Def Con from 2.25658e-006 to 2.25683e-006
Heightened Def Con from 2.25683e-006 to 2.26283e-006
Heightened Def Con from 2.26869e-006 to 2.27782e-006
Heightened Def Con from 2.27862e-006 to 2.28575e-006
Heightened Def Con from 2.28716e-006 to 2.29516e-006
Heightened Def Con from 2.29663e-006 to 2.30475e-006
Heightened Def Con from 2.30624e-006 to 2.30724e-006
Heightened Def Con from 2.30724e-006 to 2.31074e-006
Heightened Def Con from 2.33691e-006 to 2.33804e-006
Heightened Def Con from 2.33827e-006 to 2.33877e-006
Heightened Def Con from 2.33877e-006 to 2.34277e-006
Heightened Def Con from 2.34754e-006 to 2.35104e-006
Heightened Def Con from 2.35381e-006 to 2.35806e-006
Heightened Def Con from 2.35862e-006 to 2.36462e-006
Heightened Def Con from 2.36545e-006 to 2.37245e-006
Heightened Def Con from 2.40428e-006 to 2.41028e-006
Heightened Def Con from 2.41471e-006 to 2.41571e-006
Heightened Def Con from 2.41571e-006 to 2.42096e-006
Heightened Def Con from 2.42107e-006 to 2.42707e-006
Heightened Def Con from 2.43228e-006 to 2.43278e-006
Heightened Def Con from 2.43288e-006 to 2.43888e-006
Heightened Def Con from 2.44404e-006 to 2.45004e-006
Heightened Def Con from 2.4554e-006 to 2.4614e-006
Heightened Def Con from 2.46596e-006 to 2.47196e-006
Heightened Def Con from 2.47435e-006 to 2.48035e-006
Heightened Def Con from 2.48556e-006 to 2.49556e-006
Heightened Def Con from 2.49657e-006 to 2.50557e-006
Heightened Def Con from 2.50696e-006 to 2.50833e-006
Heightened Def Con from 2.50845e-006 to 2.51195e-006
Heightened Def Con from 2.51931e-006 to 2.52631e-006
Heightened Def Con from 2.52897e-006 to 2.53022e-006
Heightened Def Con from 2.53029e-006 to 2.53379e-006
Heightened Def Con from 2.53827e-006 to 2.54177e-006
Heightened Def Con from 2.54548e-006 to 2.55361e-006
Heightened Def Con from 2.55412e-006 to 2.56025e-006
Heightened Def Con from 2.56091e-006 to 2.56791e-006
Heightened Def Con from 2.56941e-006 to 2.57541e-006
Heightened Def Con from 2.57752e-006 to 2.58552e-006
Heightened Def Con from 2.58774e-006 to 2.59787e-006
Heightened Def Con from 2.59884e-006 to 2.60021e-006
Heightened Def Con from 2.60046e-006 to 2.60646e-006
Heightened Def Con from 2.61141e-006 to 2.61953e-006
Heightened Def Con from 2.62051e-006 to 2.62151e-006
Heightened Def Con from 2.62151e-006 to 2.62176e-006
Heightened Def Con from 2.62177e-006 to 2.62527e-006
Heightened Def Con from 2.65952e-006 to 2.66002e-006
Heightened Def Con from 2.66002e-006 to 2.66802e-006
Heightened Def Con from 2.66904e-006 to 2.67117e-006
Heightened Def Con from 2.67121e-006 to 2.67321e-006
Heightened Def Con from 2.67321e-006 to 2.67921e-006
Heightened Def Con from 2.68031e-006 to 2.68731e-006
Heightened Def Con from 2.71907e-006 to 2.72507e-006
Heightened Def Con from 2.7293e-006 to 2.72968e-006
Heightened Def Con from 2.72975e-006 to 2.73575e-006
Heightened Def Con from 2.73842e-006 to 2.74442e-006
Heightened Def Con from 2.75057e-006 to 2.75657e-006
Heightened Def Con from 2.76146e-006 to 2.76746e-006
Heightened Def Con from 2.7704e-006 to 2.7764e-006
Heightened Def Con from 2.78047e-006 to 2.7866e-006
Heightened Def Con from 2.78763e-006 to 2.78876e-006
Heightened Def Con from 2.78886e-006 to 2.79486e-006
Heightened Def Con from 2.80075e-006 to 2.80775e-006
Heightened Def Con from 2.81199e-006 to 2.82099e-006
Heightened Def Con from 2.82206e-006 to 2.82306e-006
Heightened Def Con from 2.82306e-006 to 2.82331e-006
Heightened Def Con from 2.82332e-006 to 2.83244e-006
Heightened Def Con from 2.83375e-006 to 2.83725e-006
Heightened Def Con from 2.8417e-006 to 2.8497e-006
Heightened Def Con from 2.85043e-006 to 2.85093e-006
Heightened Def Con from 2.85112e-006 to 2.85212e-006
Heightened Def Con from 2.85213e-006 to 2.85275e-006
Heightened Def Con from 2.85276e-006 to 2.85376e-006
Heightened Def Con from 2.85376e-006 to 2.85726e-006
Heightened Def Con from 2.87003e-006 to 2.87703e-006
Heightened Def Con from 2.87971e-006 to 2.88583e-006
Heightened Def Con from 2.88658e-006 to 2.89258e-006
Heightened Def Con from 2.89417e-006 to 2.90017e-006
Heightened Def Con from 2.91333e-006 to 2.91433e-006
Heightened Def Con from 2.91433e-006 to 2.91633e-006
Heightened Def Con from 2.91634e-006 to 2.92234e-006
Heightened Def Con from 2.92913e-006 to 2.93525e-006
Heightened Def Con from 2.9364e-006 to 2.94353e-006
Heightened Def Con from 2.94453e-006 to 2.95053e-006
Heightened Def Con from 2.95316e-006 to 2.96216e-006
Heightened Def Con from 2.96344e-006 to 2.96944e-006
Heightened Def Con from 2.97503e-006 to 2.98203e-006
Heightened Def Con from 2.98659e-006 to 2.99459e-006
Heightened Def Con from 2.99584e-006 to 3.00384e-006
Heightened Def Con from 3.0064e-006 to 3.0154e-006
Heightened Def Con from 3.01633e-006 to 3.02433e-006
Heightened Def Con from 3.0253e-006 to 3.0323e-006
Heightened Def Con from 3.03447e-006 to 3.0426e-006
Heightened Def Con from 3.04394e-006 to 3.05106e-006
Heightened Def Con from 3.05244e-006 to 3.05356e-006
Heightened Def Con from 3.0538e-006 to 3.0608e-006
Heightened Def Con from 3.06433e-006 to 3.06533e-006
Heightened Def Con from 3.06534e-006 to 3.06596e-006
Heightened Def Con from 3.06597e-006 to 3.06697e-006
Heightened Def Con from 3.06697e-006 to 3.07047e-006
Heightened Def Con from 3.08337e-006 to 3.08362e-006
Heightened Def Con from 3.08362e-006 to 3.09175e-006
Heightened Def Con from 3.09307e-006 to 3.09407e-006
Heightened Def Con from 3.09408e-006 to 3.09433e-006
Heightened Def Con from 3.09433e-006 to 3.09783e-006
Heightened Def Con from 3.09799e-006 to 3.10399e-006
Heightened Def Con from 3.10809e-006 to 3.11409e-006
Heightened Def Con from 3.14648e-006 to 3.15448e-006
Heightened Def Con from 3.15612e-006 to 3.15962e-006
Heightened Def Con from 3.16123e-006 to 3.16823e-006
Heightened Def Con from 3.16874e-006 to 3.17474e-006
Heightened Def Con from 3.18113e-006 to 3.18413e-006
Heightened Def Con from 3.18453e-006 to 3.18503e-006
Heightened Def Con from 3.1885e-006 to 3.1895e-006
Heightened Def Con from 3.1895e-006 to 3.1915e-006
Heightened Def Con from 3.19151e-006 to 3.19751e-006
Heightened Def Con from 3.20346e-006 to 3.20959e-006
Heightened Def Con from 3.21004e-006 to 3.21604e-006
Heightened Def Con from 3.21735e-006 to 3.22335e-006
Heightened Def Con from 3.22606e-006 to 3.22706e-006
Heightened Def Con from 3.22706e-006 to 3.23406e-006
Heightened Def Con from 3.26366e-006 to 3.26416e-006
Heightened Def Con from 3.26416e-006 to 3.26816e-006
Heightened Def Con from 3.27269e-006 to 3.27294e-006
Heightened Def Con from 3.27294e-006 to 3.27907e-006
Heightened Def Con from 3.28012e-006 to 3.28062e-006
Heightened Def Con from 3.28073e-006 to 3.28585e-006
Heightened Def Con from 3.2859e-006 to 3.2929e-006
Heightened Def Con from 3.30008e-006 to 3.30408e-006
Heightened Def Con from 3.3247e-006 to 3.32582e-006
Heightened Def Con from 3.32605e-006 to 3.33205e-006
Heightened Def Con from 3.33626e-006 to 3.34226e-006
Heightened Def Con from 3.34355e-006 to 3.34955e-006
Heightened Def Con from 3.35501e-006 to 3.36101e-006
Heightened Def Con from 3.36753e-006 to 3.36803e-006
Heightened Def Con from 3.36842e-006 to 3.36942e-006
Heightened Def Con from 3.36942e-006 to 3.36967e-006
Heightened Def Con from 3.36968e-006 to 3.37768e-006
Heightened Def Con from 3.38359e-006 to 3.38472e-006
Heightened Def Con from 3.3848e-006 to 3.3908e-006
Heightened Def Con from 3.39507e-006 to 3.40107e-006
Heightened Def Con from 3.40396e-006 to 3.41109e-006
Heightened Def Con from 3.41206e-006 to 3.42106e-006
Heightened Def Con from 3.42196e-006 to 3.42246e-006
Heightened Def Con from 3.42257e-006 to 3.42957e-006
Heightened Def Con from 3.43238e-006 to 3.43838e-006
Heightened Def Con from 3.44397e-006 to 3.45297e-006
Heightened Def Con from 3.45608e-006 to 3.46208e-006
Heightened Def Con from 3.46583e-006 to 3.46933e-006
Heightened Def Con from 3.47441e-006 to 3.48141e-006
Heightened Def Con from 3.48321e-006 to 3.48671e-006
Heightened Def Con from 3.4901e-006 to 3.4961e-006
Heightened Def Con from 3.49781e-006 to 3.50594e-006
Heightened Def Con from 3.50687e-006 to 3.514e-006
Heightened Def Con from 3.51517e-006 to 3.5163e-006
Heightened Def Con from 3.51646e-006 to 3.52559e-006
Heightened Def Con from 3.52661e-006 to 3.53474e-006
Heightened Def Con from 3.53601e-006 to 3.53638e-006
Heightened Def Con from 3.53652e-006 to 3.54464e-006
Heightened Def Con from 3.54582e-006 to 3.54695e-006
Heightened Def Con from 3.54727e-006 to 3.5564e-006
Heightened Def Con from 3.55769e-006 to 3.56582e-006
Heightened Def Con from 3.56715e-006 to 3.57315e-006
Heightened Def Con from 3.57614e-006 to 3.57714e-006
Heightened Def Con from 3.57714e-006 to 3.57739e-006
Heightened Def Con from 3.57739e-006 to 3.58339e-006
Heightened Def Con from 3.58928e-006 to 3.59528e-006
Heightened Def Con from 3.5993e-006 to 3.59967e-006
Heightened Def Con from 3.59987e-006 to 3.607e-006
Heightened Def Con from 3.60761e-006 to 3.60873e-006
Heightened Def Con from 3.60906e-006 to 3.61706e-006
Heightened Def Con from 3.62009e-006 to 3.62609e-006
Heightened Def Con from 3.63027e-006 to 3.63077e-006
Heightened Def Con from 3.631e-006 to 3.632e-006
Heightened Def Con from 3.632e-006 to 3.63225e-006
Heightened Def Con from 3.63226e-006 to 3.63576e-006
Heightened Def Con from 3.64856e-006 to 3.65156e-006
Heightened Def Con from 3.66956e-006 to 3.66981e-006
Heightened Def Con from 3.66981e-006 to 3.67681e-006
Heightened Def Con from 3.67864e-006 to 3.68214e-006
Heightened Def Con from 3.68251e-006 to 3.68351e-006
Heightened Def Con from 3.68351e-006 to 3.68376e-006
Heightened Def Con from 3.68377e-006 to 3.69077e-006
Heightened Def Con from 3.691e-006 to 3.69413e-006
Heightened Def Con from 3.69419e-006 to 3.70119e-006
Heightened Def Con from 3.73383e-006 to 3.73983e-006
Heightened Def Con from 3.74339e-006 to 3.74939e-006
Heightened Def Con from 3.75259e-006 to 3.75859e-006
Heightened Def Con from 3.76595e-006 to 3.77195e-006
Heightened Def Con from 3.7802e-006 to 3.78032e-006
Heightened Def Con from 3.78033e-006 to 3.78633e-006
Heightened Def Con from 3.79338e-006 to 3.79451e-006
Heightened Def Con from 3.79474e-006 to 3.80174e-006
Heightened Def Con from 3.80656e-006 to 3.81569e-006
Heightened Def Con from 3.81654e-006 to 3.81692e-006
Heightened Def Con from 3.81703e-006 to 3.82403e-006
Heightened Def Con from 3.82527e-006 to 3.8344e-006
Heightened Def Con from 3.83537e-006 to 3.8365e-006
Heightened Def Con from 3.83675e-006 to 3.84475e-006
Heightened Def Con from 3.84698e-006 to 3.8561e-006
Heightened Def Con from 3.85675e-006 to 3.86287e-006
Heightened Def Con from 3.86425e-006 to 3.87338e-006
Heightened Def Con from 3.87388e-006 to 3.875e-006
Heightened Def Con from 3.87505e-006 to 3.88418e-006
Heightened Def Con from 3.88483e-006 to 3.89195e-006
Heightened Def Con from 3.89352e-006 to 3.90152e-006
Heightened Def Con from 3.90422e-006 to 3.91122e-006
Heightened Def Con from 3.91442e-006 to 3.92142e-006
Heightened Def Con from 3.92319e-006 to 3.92919e-006
Heightened Def Con from 3.931e-006 to 3.93913e-006
Heightened Def Con from 3.93987e-006 to 3.947e-006
Heightened Def Con from 3.94808e-006 to 3.95621e-006
Heightened Def Con from 3.95684e-006 to 3.96497e-006
Heightened Def Con from 3.96573e-006 to 3.96711e-006
Heightened Def Con from 3.96725e-006 to 3.97325e-006
Heightened Def Con from 3.97896e-006 to 3.98496e-006
Heightened Def Con from 3.98981e-006 to 3.99581e-006
Heightened Def Con from 3.99715e-006 to 4.00628e-006
Heightened Def Con from 4.00713e-006 to 4.01313e-006
Heightened Def Con from 4.01523e-006 to 4.01661e-006
Heightened Def Con from 4.01684e-006 to 4.01822e-006
Heightened Def Con from 4.01912e-006 to 4.02712e-006
Heightened Def Con from 4.0297e-006 to 4.03683e-006
Heightened Def Con from 4.03807e-006 to 4.0452e-006
Heightened Def Con from 4.04664e-006 to 4.04701e-006
Heightened Def Con from 4.04714e-006 to 4.05327e-006
Heightened Def Con from 4.05425e-006 to 4.06237e-006
Heightened Def Con from 4.06344e-006 to 4.06444e-006
Heightened Def Con from 4.06444e-006 to 4.06469e-006
Heightened Def Con from 4.06469e-006 to 4.07469e-006
Heightened Def Con from 4.07683e-006 to 4.0782e-006
Heightened Def Con from 4.07837e-006 to 4.08749e-006
Heightened Def Con from 4.08845e-006 to 4.08882e-006
Heightened Def Con from 4.08913e-006 to 4.08963e-006
Heightened Def Con from 4.08973e-006 to 4.09573e-006
Heightened Def Con from 4.09754e-006 to 4.10454e-006
Heightened Def Con from 4.10702e-006 to 4.10752e-006
Heightened Def Con from 4.1077e-006 to 4.10807e-006
Heightened Def Con from 4.10818e-006 to 4.11418e-006
Heightened Def Con from 4.11657e-006 to 4.11694e-006
Heightened Def Con from 4.11708e-006 to 4.12308e-006
Heightened Def Con from 4.1259e-006 to 4.1319e-006
Heightened Def Con from 4.13643e-006 to 4.14643e-006
Heightened Def Con from 4.14803e-006 to 4.15403e-006
Heightened Def Con from 4.15841e-006 to 4.16453e-006
Heightened Def Con from 4.16572e-006 to 4.16685e-006
Heightened Def Con from 4.16709e-006 to 4.17609e-006
Heightened Def Con from 4.17723e-006 to 4.18535e-006
Heightened Def Con from 4.18666e-006 to 4.19366e-006
Heightened Def Con from 4.19611e-006 to 4.20524e-006
Heightened Def Con from 4.20588e-006 to 4.21401e-006
Heightened Def Con from 4.21462e-006 to 4.22075e-006
Heightened Def Con from 4.22216e-006 to 4.23028e-006
Heightened Def Con from 4.23137e-006 to 4.24062e-006
Heightened Def Con from 4.24123e-006 to 4.25023e-006
Heightened Def Con from 4.25126e-006 to 4.25263e-006
Heightened Def Con from 4.25295e-006 to 4.25895e-006
Heightened Def Con from 4.26329e-006 to 4.27041e-006
Heightened Def Con from 4.27138e-006 to 4.27276e-006
